Title;Description;Latitude;Longitude;Icon
Anna;anna@gmx.de;49.6400;11.0000;Daten/SDMI.png
Bernd;bernd@gmx.de;49.6600;11.0300;Daten/SDMI.png
Carina;<ul><li>biete 1 Platz im Auto</li></ul><br>carina@gmx.de;49.6420;11.0660;Daten/SDFR.png
Daniel;<ul><li>fahre mit der Bahn und suche Mitfahrende</li></ul><br>martin@gmx.de;49.5933;10.9526;Daten/SDFR.png
Erich;"<ul><li>suche 2 Plätze im Auto</li>
<li>oder biete 3 Plätze im Auto</li></ul><br>peter@gmx.de";49.5786;10.9730;Daten/SDFR.png
Franz;<ul><li>biete 3 Plätze im Auto</li></ul><br>sonja@gmx.de;49.5522;11.0242;Daten/SDMI.png
Georg;<ul><li>suche 1 Platz im Auto</li></ul><br>ursula@gmx.de;49.5360;11.1569;Daten/SDMI.png
Hans;;49.6153;11.1283;Daten/SDMI.png
Ilse;;49.7951; 9.9294;Daten/SDMI.png
Juliane;;50.0479;10.2248;Daten/SDMI.png
Kevin;;50.1369;10.5222;Daten/SDMI.png
Leo;;50.2549;10.9604;Daten/SDMI.png
Martin;;50.2391;11.3259;Daten/SDMI.png
Naomi;;50.2141;11.3096;Daten/SDMI.png
Oliver;;50.2124;11.4892;Daten/SDMI.png
Peter;;50.2038;11.5163;Daten/SDMI.png
Quara;;50.1620;11.5046;Daten/SDMI.png
Rosa;;50.1009;11.8842;Daten/SDMI.png
Sonja;;50.0812;12.3716;Daten/SDMI.png
Thomas;;50.0016;12.0848;Daten/SDMO.png
Ursula;;49.9878;12.1214;Daten/SDMO.png
Victoria;;50.0084;12.0728;Daten/SDMO.png
Willi;;49.9941;12.0676;Daten/SDMI.png
Xenopele;;49.9343;11.9698;Daten/SDMI.png
Yeah;;49.7986;12.1590;Daten/SDMI.png
Zara;;49.5103;12.5452;Daten/SDMI.png
